------------------------------------------------------------------------------------------
Begin Training Report
------------------------------------------------------------------------------------------
Epoch [225/2000]	Loss: 4.7889	Infidelity: 0.2032	Energy difference: 0.0207
Epoch [226/2000]	Loss: 4.7888	Infidelity: 0.2030	Energy difference: 0.0199
Epoch [227/2000]	Loss: 4.7887	Infidelity: 0.1945	Energy difference: 0.0223
Epoch [228/2000]	Loss: 4.7886	Infidelity: 0.1933	Energy difference: 0.0194
Epoch [229/2000]	Loss: 4.7885	Infidelity: 0.1896	Energy difference: 0.0204
Epoch [230/2000]	Loss: 4.7884	Infidelity: 0.1945	Energy difference: 0.0215
Epoch [231/2000]	Loss: 4.7882	Infidelity: 0.2049	Energy difference: 0.0214
Epoch [232/2000]	Loss: 4.7881	Infidelity: 0.1918	Energy difference: 0.0183
Epoch [233/2000]	Loss: 4.7880	Infidelity: 0.2050	Energy difference: 0.0158
Epoch [234/2000]	Loss: 4.7879	Infidelity: 0.2018	Energy difference: 0.0215
Epoch [235/2000]	Loss: 4.7878	Infidelity: 0.1928	Energy difference: 0.0186
Epoch [236/2000]	Loss: 4.7877	Infidelity: 0.1937	Energy difference: 0.0192
Epoch [237/2000]	Loss: 4.7875	Infidelity: 0.2025	Energy difference: 0.0176
Epoch [238/2000]	Loss: 4.7874	Infidelity: 0.2104	Energy difference: 0.0177
Epoch [239/2000]	Loss: 4.7873	Infidelity: 0.1852	Energy difference: 0.0178
Epoch [240/2000]	Loss: 4.7872	Infidelity: 0.1953	Energy difference: 0.0190
Epoch [241/2000]	Loss: 4.7871	Infidelity: 0.1781	Energy difference: 0.0170
Epoch [242/2000]	Loss: 4.7869	Infidelity: 0.1834	Energy difference: 0.0190
Epoch [243/2000]	Loss: 4.7868	Infidelity: 0.1966	Energy difference: 0.0180
Epoch [244/2000]	Loss: 4.7867	Infidelity: 0.1918	Energy difference: 0.0150
Epoch [245/2000]	Loss: 4.7866	Infidelity: 0.1846	Energy difference: 0.0197
Epoch [246/2000]	Loss: 4.7864	Infidelity: 0.2059	Energy difference: 0.0189
Epoch [247/2000]	Loss: 4.7863	Infidelity: 0.2238	Energy difference: 0.0206
